value_en	description_en	codesystem	code	description_code	iri
Population representative sampling	Population representative sampling	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Population representative sampling
Country of residence	Country of residence	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Country of residence
Ethnic origin	Ethnic origin	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Ethnic origin
Health status	Health status	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Health status
Use of medication	Use of medication	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Use of medication
Age group	Age group	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Age group
Lifestyle/Exposure	Lifestyle/Exposure	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Lifestyle/Exposure
Sex	Sex	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Sex
Hospital patient	Hospital patient	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Hospital patient
Gravidity	Gravidity	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Gravidity
Familial status	Familial status	An inclusion criterion defines and states a condition which, if met, makes an entity suitable for a given task or participation in a given process.	MIABIS-2.0-22	inclusion-criteria#Familial status
